date,fingerprint,type,bytes,num_instances,coverage
2023-04-29,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,6309191720235.31,12.00,12.00
2023-04-29,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,6297645378949.42,12.00,12.00
2023-04-30,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,15298767158.28,12.00,12.00
2023-04-30,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,299115811712.95,12.00,12.00
2023-04-30,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27372585217288.06,12.00,12.00
2023-04-30,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27458071687965.30,12.00,12.00
2023-04-30,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2510468653.10,12.00,12.00
2023-04-30,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,66251123921.26,12.00,12.00
2023-04-30,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,6304232945458.71,12.00,12.00
2023-04-30,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,6293119373173.29,12.00,12.00
2023-05-01,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,16208612187.76,12.00,12.00
2023-05-01,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,308308035463.61,12.00,12.00
2023-05-01,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27578069707860.36,12.00,12.00
2023-05-01,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27671629129860.10,12.00,12.00
2023-05-01,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2636775264.79,12.00,12.00
2023-05-01,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,67060219857.01,12.00,12.00
2023-05-01,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,6317777561839.56,12.00,12.00
2023-05-01,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,6305205380254.12,12.00,12.00
2023-05-02,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,15300501526.38,12.00,12.00
2023-05-02,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,293575576965.64,12.00,12.00
2023-05-02,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27711843768283.92,12.00,12.00
2023-05-02,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27794387999032.23,12.00,12.00
