date,fingerprint,transport,users,num_instances,coverage
2017-10-09,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.77,1.00,1.00
2017-10-10,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.43,1.00,1.00
2017-10-11,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.77,1.00,1.00
2017-10-12,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-10-13,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.43,1.00,1.00
2017-10-14,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.94,1.00,0.90
2017-10-15,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,2.65,1.00,1.00
2017-10-16,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.85,1.00,1.00
2017-10-17,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.98,1.00,0.82
2017-10-18,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.55,1.00,0.78
