date,transport,users,frac
2019-02-08,snowflake,2.58,100.00
2019-02-09,snowflake,2.80,100.00
2019-02-10,snowflake,3.96,100.00
2019-02-11,snowflake,4.40,100.00
2019-02-12,snowflake,4.40,100.00
2019-02-13,snowflake,16.58,100.00
2019-02-14,snowflake,8.44,100.00
2019-02-15,snowflake,3.60,100.00
2019-02-16,snowflake,3.02,100.00
2019-02-17,snowflake,1.64,100.00
2019-02-18,snowflake,1.02,100.00
2019-02-19,snowflake,2.60,100.00
2019-02-20,snowflake,2.20,100.00
2019-02-21,snowflake,2.80,100.00
2019-02-22,snowflake,2.80,100.00
2019-02-23,snowflake,2.80,100.00
2019-02-24,snowflake,2.80,100.00
2019-02-25,snowflake,2.33,100.00
2019-02-26,snowflake,5.85,100.00
2019-02-27,snowflake,2.03,100.00
2019-02-28,snowflake,2.86,100.00
2019-03-01,snowflake,4.43,100.00
2019-03-02,snowflake,5.26,100.00
2019-03-03,snowflake,6.71,100.00
2019-03-04,snowflake,4.43,100.00
2019-03-05,snowflake,5.11,100.00
2019-03-06,snowflake,2.95,100.00
2019-03-07,snowflake,6.55,100.00
2019-03-08,snowflake,4.11,100.00
2019-03-09,snowflake,2.91,100.00
2019-03-10,snowflake,3.55,100.00
2019-03-11,snowflake,2.11,100.00
2019-03-12,snowflake,2.75,100.00
2019-03-13,snowflake,2.80,100.00
2019-03-14,snowflake,2.80,100.00
2019-03-15,snowflake,3.55,100.00
2019-03-16,snowflake,3.60,100.00
2019-03-17,snowflake,2.85,100.00
2019-03-18,snowflake,4.29,100.00
2019-03-19,snowflake,2.16,100.00
2019-03-20,snowflake,1.25,100.00
2019-03-21,snowflake,1.95,100.00
2019-03-22,snowflake,1.25,100.00
2019-03-23,snowflake,4.19,100.00
2019-03-24,snowflake,2.16,100.00
2019-03-25,snowflake,4.24,100.00
2019-03-26,snowflake,3.65,100.00
2019-03-27,snowflake,2.85,100.00
2019-03-28,snowflake,4.29,100.00
2019-03-29,snowflake,5.15,100.00
2019-03-30,snowflake,4.45,100.00
2019-03-31,snowflake,4.40,100.00
2019-04-01,snowflake,5.89,100.00
2019-04-02,snowflake,3.01,100.00
2019-04-03,snowflake,5.79,100.00
2019-04-04,snowflake,5.25,100.00
2019-04-05,snowflake,6.69,100.00
2019-04-06,snowflake,6.05,100.00
2019-04-07,snowflake,5.25,100.00
2019-04-08,snowflake,5.20,100.00
2019-04-09,snowflake,6.69,100.00
2019-04-10,snowflake,6.80,100.00
2019-04-11,snowflake,2.71,100.00
2019-04-12,snowflake,5.20,100.00
2019-04-13,snowflake,5.89,100.00
2019-04-14,snowflake,6.11,100.00
2019-04-15,snowflake,5.55,100.00
2019-04-16,snowflake,4.50,100.00
2019-04-17,snowflake,4.40,100.00
2019-04-18,snowflake,4.60,100.00
2019-04-19,<OR>,0.33,100.00
2019-04-19,snowflake,4.87,100.00
2019-04-20,<OR>,0.97,100.00
2019-04-20,snowflake,4.03,100.00
2019-04-21,snowflake,4.60,100.00
2019-04-22,snowflake,5.20,100.00
2019-04-23,snowflake,5.20,100.00
2019-04-24,snowflake,5.00,100.00
2019-04-25,snowflake,4.60,100.00
2019-04-26,snowflake,5.00,100.00
2019-04-27,snowflake,4.40,100.00
2019-04-28,snowflake,4.40,100.00
2019-04-29,snowflake,4.80,100.00
2019-04-30,snowflake,5.40,100.00
2019-05-01,snowflake,3.60,100.00
2019-05-02,snowflake,6.60,100.00
2019-05-03,<OR>,0.55,100.00
2019-05-03,snowflake,14.45,100.00
2019-05-04,<OR>,1.65,100.00
